,Rating,Title,Author,Country,Date,Review Body,Type Of Traveller,Seat Type,Aircraft,Verified,Source,Destination,Via,Date Flown Month,Date Flown Year
845,0,unknown,tony williams,unknown,2019-09-20,manchester bangkok via doha flight perfect check staff manchester appalling whilst checking business class rude man interrupted demanded biz class sticker hand luggage economy pax proceeded demand attention check woman disregarded woman assured card detail system point credited typically manchester total disinterest apathy compare bangkok attention exemplary lounge use manchester woeful however air peerless simply amazing sent complaint head office doha hope addressed,,nan,A350,False,NAN,NAN,0,9,2019
846,9,seat comfortable,huggett,united kingdom,2019-09-18,gatwick bangkok via doha flight left time speedy organised boarding first leg doha boeing 777 far better second leg bangkok smaller a330 seat comfortable ife lot film tv programme watch food served ok crew friendly job well,Solo Leisure,nan,BOEING 777,True,LGW,BKK,1,9,2019
846,9,seat comfortable,huggett,united kingdom,2019-09-18,gatwick bangkok via doha flight left time speedy organised boarding first leg doha boeing 777 far better second leg bangkok smaller a330 seat comfortable ife lot film tv programme watch food served ok crew friendly job well,Solo Leisure,nan,A330,True,LGW,BKK,1,9,2019
847,1,managed lose bag,craig robinson,australia,2019-09-18,adelaide doha via edinburgh worst flying experience managed lose bag biggest problem couldnt claim travel insurance qatar closed case issued compensation taken 3 month far 40 follow email keep coming reason file hasnt finalised set date done 5 day 2 week miss deadline,Family Leisure,economy class,,True,ADL,EDI,1,0,
848,2,flight cancelled,gail james james,unknown,2019-09-17,unknown,Solo Leisure,economy class,,True,CPT,EDI,1,0,
849,5,flight comfortable,ellen van der linden,united kingdom,2019-09-17,journey qatar adventure flying dog native sri lankan dog breed mixedmongrel nightmare book fair wasnt bad first time mixed breed okay unfortunately change date flight rebook dog onto flight thats nightmare began staff wanted know breed dog despite dog breed called friday dog said would hear within 48 hour following wednesday call hadnt heard anything yet find never processed dog first place flight sunday despite problem mixed breed first time load problem mixed breed wasnt okay despite stating definitely wasnt one dog allowed fly mongrel wasnt okay either eventually got approved day flight absolute nightmare deal others heard qatar one easiest airline deal pet transport one problem far hundred sri lankan dog transported qatar problem flight wasnt bad departed colombo time staff great check checking dog document really easy manager even excited see dog another staff member dedicated time queue staff plane nice colombodoha dohaamsterdam assured dog okay even checking pilot make sure dog flight pilot aware dog flight comfortable good movie selection thing bothered lack legroom dohaamsterdam flight row front u 4 seat row 3 seat leaving less space seat front dog arrived safely even changed dog bedding layover im happy wasnt nightmare booking dog onto flight wouldve great,Solo Leisure,economy class,,True,CMB,AMS,1,6,2019
850,0,first choice airline,unknown,unknown,2019-09-16,unknown,,economy class,,True,CPT,BRU,1,9,2019
851,4,unknown,paul barabas,romania,2019-09-16,denpasar bucharest via doha experience qatar airway rather disappointing time food onboard barely eatable transfer doha bus two leg lunch option chose available anymore boeing 777 seat comfort good ife also good variety although wifi unavailable,Couple Leisure,economy class,B777-300ER,True,DPS,OTP,1,9,2019
851,4,unknown,paul barabas,romania,2019-09-16,denpasar bucharest via doha experience qatar airway rather disappointing time food onboard barely eatable transfer doha bus two leg lunch option chose available anymore boeing 777 seat comfort good ife also good variety although wifi unavailable,Couple Leisure,economy class,A320,True,DPS,OTP,1,9,2019
852,1,luggage arrived next day,e mahler,south africa,,disappointed despite delay incurred flight luggage arrive next day several email submitted received response flew johannesburg antalya via doha flight delayed two half hour arrival doha connecting flight departed arrangement made would reroute u via istanbul connecting antalya group 4 assurance given representative would meet u arrival hall antalya never luggage loaded qatar arrival luggage walked around foreign airport seeking help finally managed locate group handling company initially want assist much debate requested luggage claim form provide insisting form one provided finally luggage arrived next day add frustration return flight home also delayed boarding flight qatar loaded due technical problem,Family Leisure,business class,,True,JNB,AYT,1,0,
853,8,seat comfortable,unknown,kuwait,2019-09-09,bangkok kuwait via doha busy flight fully packed flight departed time comfortable one food beverage good cabin crew taking maximum effort ensure every thing order passenger though fully booked flight seat comfortable reasonable leg space toilet clean cabin crew check continuously passenger usage,Solo Leisure,nan,,True,BKK,KWI,1,8,2019
854,9,comfortable flight,unknown,kuwait,,kuwait bangkok via doha ticket economy class redeeming qmiles unfortunately due delay departure kuwait missed doha bangkok original flight put another flight 8am departing doha fantastic comfortable flight qatar airway love airline outstanding cabin crew,Solo Leisure,business class,BOEING 777-300,True,KWI,BKK,1,8,2019
855,8,best world,b roberto,united kingdom,2019-09-07,plane big enough 56 hour flight always flying qr different experience airline there doubt airline marked one best world,Solo Leisure,nan,A350-900,True,VIE,DOH,0,0,
856,2,offered compensation,valenatis,italy,2019-09-04,tokyo venice via doha positive thing flight attendant smile lot often bring drink food bad outward journey 1h30 late return trip instead 4 support gate changed 4 time forcing u one side airport company offered compensation pointed passenger right receive food drink proportion duration delay ignored online checkin chosen place changed bad experience bad organization bad service,Business,economy class,,True,TYO,VCE,1,9,2019
857,7,excellent airline service,unknown,qatar,2019-09-03,beirut doha excellent airline service good issue face beirut airport ground staff dont listen give time explain need scream shout people look worked focused qa lounge staff well trained service excellent hope airline work people better service,Business,economy class,,True,BEY,DOH,0,9,2019
858,8,unknown,r neale,australia,2019-09-01,sydney nice via doha decided choose carrier cheaper option due oneworld affiliation qantas reputation quality ife ability allocate seat without charge checkin easy although hadnt realised could used business class counter oneworld ruby status boarding regimentally administered zone chose 2 abreast jk seat a380 requires walking length main deck economy cabin rear stair small cabin rear upper deck good choice quiet like extra storage space beside k seat received good blanket pillow flight plus small amenity pack long overnight flight syd containing eyeshade earplug sockettes toothbrush lip balm service performed crew member whole trip doha nice liked crew appeared professional lady little robotic food adequate numerous drink snack run appreciated attention detail eg asked cranberry juice one meal advised available offered 3 juice option fine 10 minute later cranberry juice delivered one annoying occurrence changed u 18k19k 19jk doha given boarding pass sydney wanting middle seat alternative middle seat aisle back think fibbed telling u family could sit together werent row 18 entitled type female k sea j empty doha airport also excellent transit hub modern clean uncrowded see qr rated highly,Couple Leisure,economy class,A380,True,SYD,NCE,1,8,2019
